,image,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Team,draft_age,year,draft_pick,,drop,yacpcnum,yacpc,adotnum,adot,tpmtnum,tpmt,ccnum,cc,mannum,man,pffnum,pff,yprr_p,yprr,,tprr_p,tprr,open_p,open,catch_p,name,catch,yac,yac_p,draft_agep,htp,ht,wtp,wt,dashp,dash,vertp,vert,broadp,broad,conep,cone,shuttlep,shuttle,rasp,ras,breakoutagep,breakout_age,best_ppg ,hs,freshr,freshrp,freshy,freshyp,fresht,freshtp,sophr,sophrp,sophy,sophyp,sopht,sophtp,junr,junrp,juny,junyp,junt,juntp,senr,senrp,seny,senyp,sent,sentp,senrr,senrrp,senrry,senrryp,senrrt,senrrtp,best_ppgp,years_removed,adp,adpp
68,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Quentin-Johnston-WR-TCU.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/1280px-TCU_Horned_Frogs_logo.svg.png,TCU,21.3,2023,21,,0.049,8.9,0.953,12.9,0.609,3.16,0.967,34.8,0.203,73.9,0.422,77,0.344,0.697,2.71,,0.521,0.25,0.362,84,0.376,Quentin Johnston,78,100,0.95,0.774,0.81,6026,0.696,208,0.229,4.52,0.895,40.5,0.914,134,0.096,7.31,0.413,4.28,0.66,8.69,0.819,19,4.41,3,25.9,0.944,31.1,0.986,22.7,0.845,24.7,0.817,33.2,0.873,46.9,0.958,22,0.553,29.3,0.681,19.5,0.348,,0,,0,,0,,,,,,,0.422,1,7,0.862
69,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4038818.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/South_Carolina_Gamecocks_logo.svg/1200px-South_Carolina_Gamecocks_logo.svg.png,South Carolina,21.4,2020,81,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.317,2.19,,0.732,0.27,0.553,90,0.617,Bryan Edwards,91,97,0.816,0.679,0.81,6026,0.765,212,,-,,-,,-,,-,,-,,-,1,17.8,4.39,4,19,0.88,23.1,0.887,37,0.972,26.1,0.831,28.4,0.789,27.8,0.697,20.4,0.482,24,0.447,21.9,0.397,31.8,0.91,36.7,0.854,60,0.978,,,,,,,0.414,"1,2",22,0.5
70,https://www.playerprofiler.com/wp-content/uploads/2018/02/nkeal-harry-stats-fantasy-rankings.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/ASU_Athletics_Logo.svg/2560px-ASU_Athletics_Logo.svg.png,Arizona State,21.3,2019,32,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.627,2.57,,0.732,0.27,0.482,88,0.887,N'Keal Harry,98,88,0.532,0.745,0.828,6027,0.974,228,0.177,4.53,0.705,38.5,0.258,122,,-,,-,0.573,8.44,0.884,18.7,4.33,3,18.7,0.873,21.8,0.873,31.3,0.937,31.2,0.923,34.6,0.908,40,0.901,32,0.894,39,0.901,50,0.929,,0,,0,,0,,,,,,,0.405,"1,2",3,0.966
67,https://www.si.com/.image/t_share/MTgyNzQwMDEyMDQxNzc0NDk5/i.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Ole Miss,21.7,2023,39,,0.328,7.3,0.813,14.5,0.797,6.38,0.426,41.2,0.328,76.6,0.594,78.6,0.469,0.007,1.48,,0.007,0.17,0.043,53,0.284,Jonathan Mingo,70,84,0.411,0.584,0.716,6016,0.861,220,0.469,4.46,0.8,39.5,0.785,129,0.438,7.04,0.56,4.25,0.971,9.87,0.471,20.4,4.2,4,6.5,0.521,7.6,0.528,9.1,0.599,11.4,0.303,11.3,0.282,10,0.246,16.7,0.326,21,0.362,31.3,0.61,21.5,0.371,27.7,0.573,22.7,0.247,,,,,,,0.397,1,16,0.647
72,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Terrace-MarshallJr-WR-LSU.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/2560px-LSU_Athletics_logo.svg.png,LSU,20.8,2021,59,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.162,1.98,,0.07,0.19,0.184,71,0.461,Terrace Marshall Jr.,83,81,0.34,0.971,0.793,6024,0.609,205,0.667,4.4,0.758,39,0.527,125,,-,,-,0.913,9.76,0.79,19.2,4.14,3,7.7,0.563,9.4,0.613,0,0,13.5,0.408,13.9,0.345,26.4,0.655,27.7,0.773,33.5,0.787,59.5,0.986,,0,,0,,0,,,,,,,0.388,"2,3",15,0.716
73,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4259979.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kentucky_Wildcats_logo.svg/1200px-Kentucky_Wildcats_logo.svg.png,Kentucky,22.5,2020,80,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.465,2.36,,0.732,0.27,0.404,86,0.007,Lynn Bowden Jr.,28,96,0.773,0.241,0.233,5105,0.574,204,,-,,-,,-,,-,,-,,-,0.319,20.9,3.9,3,8.8,0.585,8.4,0.57,0,0,34.7,0.951,35.7,0.93,35.7,0.838,24,0.645,23.6,0.433,11.1,0.177,,0,,0,,0,,,,,,,0.379,1,30,0.362
75,https://www.playerprofiler.com/wp-content/uploads/2023/01/tre-tucker-advanced-stats.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cincinnati_Bearcats_logo.svg/1200px-Cincinnati_Bearcats_logo.svg.png,Cincinnati,21.8,2023,100,,0.131,6.3,0.516,8.1,0.063,5.3,0.557,36.4,0.234,75.1,0.484,69.5,0.094,0.486,2.37,,0.732,0.27,0.17,68,0,Tre Tucker,25,90,0.589,0.533,0.052,5085,0.209,182,0.708,4.4,0.632,37.5,0.398,124,0.342,7.07,0.067,4.49,0.359,7.17,0.254,21.1,3.87,4,3.4,0.394,3.7,0.394,0,0,9.1,0.246,9.9,0.254,15,0.408,13.3,0.17,12.6,0.142,6,0.106,22.7,0.416,23,0.303,14.7,0.157,,,,,,,0.371,1,50,0.026
74,https://www.si.com/.image/t_share/MTkwNTY0Njg2NTQwODQyODc2/oklahoma-wr-marvin-mims.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/795px-Oklahoma_Sooners_logo.svg.png,Oklahoma,20.8,2023,63,,0.41,8.1,0.891,17,0.938,7.7,0.328,54.5,0.656,62.7,0.188,77.1,0.359,0.831,2.95,,0.239,0.22,0.518,89,0.688,Marvin Mims,92,82,0.362,0.978,0.259,5107,0.226,183,0.813,4.38,0.8,39.5,0.785,129,0.712,6.9,,-,0.816,9.41,0.942,18.5,3.75,3,15.4,0.838,17.7,0.838,30,0.908,11.6,0.317,20.8,0.535,15.6,0.43,21.6,0.525,32.8,0.752,23.1,0.418,,0,,0,,0,,,,,,,0.362,1,22,0.5
76,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Tyquan-Thornton-WR-Baylor.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/1200px-Baylor_Athletics_logo.svg.png,Baylor,21.4,2022,50,,0.721,3.1,0.047,15.4,0.875,12.4,0.18,55.6,0.688,66.7,0.281,82.4,0.563,0.099,1.87,,0.07,0.19,0.262,79,0.589,Tyquan Thornton,90,51,0.106,0.745,0.784,6023,0.165,181,0.979,4.28,0.516,36.5,0.828,130,0.164,7.25,0.187,4.39,0.592,8.54,0.819,19.1,3.45,4,8.8,0.585,12.2,0.704,17.6,0.782,16.3,0.493,28.6,0.803,20.8,0.542,11.8,0.149,12,0.135,10.4,0.163,26.4,0.708,33.3,0.787,43.5,0.843,,,,,,,0.353,"1,2",25,0.422
77,"https://static.www.nfl.com/image/private/f_auto,q_85/league/bw5tmpojs437fgssnsu7",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/1200px-Baylor_Athletics_logo.svg.png,Baylor,22.5,2020,59,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.352,2.22,,0.401,0.24,0.404,86,0.475,Denzel Mims,84,81,0.34,0.299,0.828,6027,0.678,207,0.781,4.38,0.705,38.5,0.849,131,0.918,6.66,0.133,4.43,0.932,9.77,0.862,18.9,3.3,4,0.6,0.254,1,0.254,0,0,22.8,0.761,31.2,0.831,34.8,0.817,20.1,0.461,22.8,0.411,39.2,0.78,24.6,0.607,28.6,0.607,50,0.91,,,,,,,0.345,"1,2",15,0.707
78,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3932423.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Notre_Dame_Fighting_Irish_logo.svg/1200px-Notre_Dame_Fighting_Irish_logo.svg.png,Notre Dame,22.5,2019,93,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.204,2.02,,0.239,0.22,0.518,89,0.858,Miles Boykin,97,35,0.007,0.299,0.905,6036,0.861,220,0.615,4.42,1,43.5,1,140,0.836,6.77,0.933,4.07,0.981,9.94,0.848,18.9,3.25,4,0,0,0,0,0,0,4,0.148,4.2,0.148,8.1,0.218,12.2,0.156,20.2,0.312,19,0.333,22,0.382,26.1,0.449,34.8,0.618,,,,,,,0.336,"1,2",27,0.422
79,https://static.www.nfl.com/image/private/t_player_profile_landscape/f_auto/league/thfspx6c8befeosbsj1b,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/1200px-Penn_State_Nittany_Lions_logo.svg.png,Penn State,23.1,2018,113,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.204,2.02,,0.07,0.19,0.241,78,0.617,DaeSean Hamilton,91,87,0.489,0.139,0.517,6005,0.548,203,,-,0.221,34.5,0.075,118,0.781,6.84,0.733,4.15,0.476,8.09,0.71,19.5,3.13,5,0,0,0,0,0,0,29.7,0.901,29.6,0.817,15.4,0.415,20.9,0.504,20.8,0.348,30,0.582,17.6,0.191,16.2,0.112,4,0.067,17.6,0.207,22.7,0.276,28.1,0.586,0.328,"1,2",35,0.276
81,https://b.fssta.com/uploads/application/nfl/headshots/21613.vresize.350.350.medium.39.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Minnesota_Golden_Gophers_logo.svg/1200px-Minnesota_Golden_Gophers_logo.svg.png,Minnesota,21.6,2020,161,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.937,3.31,,0.951,0.33,0.95,100,0.532,Tyler Johnson,87,87,0.489,0.62,0.672,6013,0.643,206,,-,,-,,-,,-,,-,,-,0.833,19,2.87,4,14.4,0.803,11.6,0.676,20.4,0.817,38,0.972,53.7,1,87.5,1,41.3,0.957,43.7,0.965,60,0.993,40.9,0.989,40.5,0.933,43.3,0.831,,,,,,,0.31,"1,2",41,0.198
80,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Jalin-Hyatt-WR-Tennessee.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/1200px-Tennessee_Volunteers_logo.svg.png,Tennessee,21.3,2023,73,,0.426,7.3,0.813,14.1,0.734,8.38,0.279,60,0.828,76.4,0.578,78.2,0.438,0.514,2.44,,0.176,0.21,0.447,87,0.475,Jalin Hyatt,84,79,0.305,0.774,0.431,6001,0.087,176,0.708,4.4,0.853,40,0.935,135,0.411,7.06,0.307,4.33,0.68,8.76,0.29,20.9,2.87,3,11.1,0.718,13.4,0.732,14.3,0.718,8.8,0.239,6.8,0.197,6.1,0.204,25,0.667,32.4,0.738,43.1,0.844,,0,,0,,0,,,,,,,0.31,1,23,0.474
82,https://www.playerprofiler.com/wp-content/uploads/2014/05/andy-isabella-advanced-stats.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/UMass_Amherst_athletics_logo.svg/1200px-UMass_Amherst_athletics_logo.svg.png,UMass,22.4,2019,62,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.866,3.02,,0.803,0.28,0.66,93,0.553,Andy Isabella,88,86,0.461,0.299,0.069,5086,0.322,188,0.969,4.31,0.516,36.5,0.172,121,0.589,6.95,0.707,4.15,0.369,7.26,0.652,19.8,2.68,4,0.6,0.254,0.2,0.239,0,0,23.8,0.789,26,0.711,25.9,0.648,23.9,0.631,28.6,0.645,38.5,0.759,38.8,0.966,47.5,0.989,48.1,0.899,,,,,,,0.302,"1,2",20,0.56
83,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4243389.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/en/4/45/Memphis_Tigers_logo.svg,Memphis,22.8,2022,138,,0.525,7.2,0.797,11.6,0.438,5.29,0.574,28,0.125,78.9,0.656,85.2,0.766,0.732,2.76,,0.866,0.29,0.589,91,0.234,Calvin Austin III,67,84,0.411,0.19,0.017,5076,0.043,170,0.896,4.32,0.758,39,0.935,135,0.959,6.65,0.893,4.07,0.738,9.05,0.072,22.4,2.6,5,0,0,0,0,0,0,0.8,0.099,1,0.106,0,0,6.5,0.085,8.1,0.092,9.6,0.149,24.8,0.629,31.2,0.708,35.5,0.663,27.8,0.793,32.1,0.69,30.8,0.621,0.293,2,40,0.198
84,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430191.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Western_Michigan_Broncos_%282021%29_logo.svg/1200px-Western_Michigan_Broncos_%282021%29_logo.svg.png,Western Michigan,21.3,2022,54,,0.852,5.7,0.344,10.8,0.328,3.62,0.918,81.1,1,81.1,0.719,91.8,0.953,0.817,2.92,,0.866,0.29,0.702,94,0.688,Skyy Moore,92,95,0.738,0.774,0.155,5095,0.426,195,0.667,4.41,0.221,34.5,0.527,125,0.288,7.13,0.36,4.32,0.408,7.58,0.551,20,2.5,3,20.7,0.894,25.7,0.915,14.3,0.718,41.2,0.986,27.4,0.754,20,0.514,44.4,0.979,42.5,0.95,46.3,0.879,,0,,0,,0,,,,,,,0.284,"1,2",10,0.819
87,https://www.si.com/.image/t_share/MTg5NTY1MzQ4ODUxMjMwMjky/tennessee-wr-cedric-tillman.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/1200px-Tennessee_Volunteers_logo.svg.png,Tennessee,22.7,2023,74,,0.607,2.9,0.016,14.4,0.781,12.3,0.197,42.9,0.359,65.2,0.203,69.1,0.078,0.239,2.1,,0.239,0.22,0.404,86,0.922,Cedric Tillman,99,63,0.191,0.241,0.871,6033,0.791,213,0.177,4.54,0.6,37,0.71,128,0.082,7.32,,-,0.65,8.67,0.217,21.4,2.43,5,0,0,0,0,0,0,2.3,0.127,2.5,0.127,5.5,0.183,2.1,0.05,2.3,0.05,5.2,0.078,26.3,0.685,32.3,0.742,36.4,0.697,27.7,0.759,21.3,0.207,17.2,0.207,0.276,1,31,0.302
89,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570409.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/1200px-Purdue_Boilermakers_logo.svg.png,Purdue,21.1,2022,99,,0.672,5.8,0.375,10.7,0.297,3.72,0.869,42.3,0.344,81.3,0.75,87.4,0.844,0.465,2.36,,0.732,0.27,0.794,97,0.957,David Bell,100,97,0.816,0.818,0.586,6007,0.765,212,0,4.65,0.074,33,0.075,118,0.233,7.14,0,4.57,0.01,3.99,0.884,18.7,2.42,3,27,0.958,27.9,0.958,25.9,0.873,20.4,0.676,33.7,0.88,53.3,0.979,27,0.766,20.2,0.312,22.2,0.404,,0,,0,,0,,,,,,,0.267,"1,2",17,0.647
85,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Kyle-Philips-WR-UCLA.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/UCLA_Bruins_primary_logo.svg/1200px-UCLA_Bruins_primary_logo.svg.png,UCLA,22.6,2022,163,,0.164,6,0.438,9.8,0.172,7.38,0.328,30,0.141,80.6,0.703,76.6,0.328,0.049,1.74,,0.401,0.24,0.518,89,0.333,Kyle Philips,75,87,0.489,0.241,0.31,5112,0.339,189,0.083,4.58,0.158,33.5,0.398,124,0.863,6.75,0.893,4.09,0.524,8.31,0.507,20.2,2.41,4,7.5,0.556,3.3,0.373,0,0,23.1,0.768,22.2,0.563,22.7,0.592,29.2,0.809,23.6,0.433,11.1,0.177,31.1,0.876,29.7,0.663,47.8,0.888,,,,,,,0.259,,38,0.233
86,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3931397.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/304px-Stanford_Cardinal_logo.svg.png,Stanford,22.2,2019,57,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.775,2.85,,0.62,0.26,0.482,88,0.957,J.J. Arcega-Whiteside,100,52,0.128,0.401,0.767,6020,0.922,225,,-,,-,,-,,-,,-,0.204,6.14,0.37,20.6,2.33,4,0,0,0,0,0,0,17.4,0.556,24,0.648,41.7,0.93,29.3,0.816,38.1,0.887,51.1,0.95,25.2,0.652,32.3,0.742,53,0.944,,,,,,,0.25,"1,2",14,0.733
88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4361577.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/1200px-North_Carolina_Tar_Heels_logo.svg.png,North Carolina,21.4,2021,82,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.465,2.36,,0.127,0.2,0.362,84,0.553,Dyami Brown,88,89,0.553,0.745,0.517,6005,0.339,189,0.51,4.45,0.347,35.5,0.71,128,0.767,6.85,0.213,4.35,0.553,8.38,0.63,19.8,2.07,3,8.5,0.57,7.7,0.535,8.5,0.577,19.2,0.648,27.8,0.775,31.6,0.761,24.7,0.66,33.2,0.78,27.9,0.511,,0,,0,,0,,,,,,,0.241,"2,3",26,0.422
97,https://www.si.com/.image/t_share/MTgyNDUzODAyNjY4OTI2MDgz/i.png,https://upload.wikimedia.org/wikipedia/en/e/ee/Southalabama_jaguars_logo.png,South Alabama,22.9,2022,88,,0.164,7.1,0.766,14.2,0.75,6.31,0.443,44.4,0.422,73.9,0.422,85.1,0.734,0.606,2.55,,0.521,0.25,0.333,83,0.298,Jalen Tolbert,73,83,0.39,0.168,0.638,6011,0.409,194,0.333,4.49,0.421,36,0.323,123,0.342,7.08,0.56,4.24,0.621,8.61,0.406,20.5,2.04,5,0,0,0,0,0,0,4.2,0.155,3.2,0.141,0,0,18.1,0.404,27.3,0.596,42.9,0.837,29.2,0.798,39.9,0.899,44.4,0.865,30,0.828,48,0.966,36.4,0.724,0.233,"1,2",23,0.474
90,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4371986.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/2317px-Auburn_Tigers_logo.svg.png,Auburn,20.6,2021,91,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.415,2.3,,0.803,0.28,0.39,85,0.021,Anthony Schwartz,29,85,0.454,0.993,0.414,6000,0.261,186,1,4.27,0.053,32,0.323,123,0.26,7.13,0.507,4.25,0.291,6.89,0.551,20,1.8,3,10.3,0.627,13.4,0.732,10.4,0.641,18.1,0.606,19.4,0.486,5,0.169,28.6,0.801,28.9,0.652,27.3,0.504,,0,,0,,0,,,,,,,0.224,"1,2",33,0.302
91,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Ihmir-Smith-Marsette-WR-Iowa.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Iowa_Hawkeyes_logo.svg/1200px-Iowa_Hawkeyes_logo.svg.png,Iowa,21.5,2021,157,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.035,1.68,,0.239,0.22,0.291,81,0.028,Ihmir Smith-Marsette,35,74,0.27,0.679,0.56,6006,0.165,181,0.333,4.5,0.6,37,0.398,124,0.342,7.06,0.6,4.23,0.282,6.81,0.551,20,1.77,4,10.7,0.662,8.9,0.599,8.7,0.585,10.3,0.275,13.3,0.324,11.9,0.303,18.1,0.404,24.3,0.461,31.3,0.61,20.3,0.337,25,0.393,38.9,0.764,,,,,,,0.216,"1,3",43,0.129
92,https://www.si.com/.image/t_share/MTg2MzczMzAzMzg3MDM4ODQ5/i.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/1200px-Tennessee_Volunteers_logo.svg.png,Tennessee,24.7,2022,71,,0.738,8.3,0.906,7.1,0.047,3.88,0.836,50,0.5,79.6,0.688,75.4,0.266,0.218,2.05,,0.239,0.22,0.078,58,0.028,Velus Jones Jr.,35,92,0.645,0,0.379,5116,0.574,204,0.948,4.31,0.074,33,0.172,121,0.068,7.32,0.053,4.51,0.33,7.1,0,24.3,1.74,6,1.2,0.296,2.2,0.338,0,0,4.2,0.155,5.5,0.162,5.1,0.176,1.1,0.043,2.2,0.043,0,0,4.1,0.045,5.2,0.045,13.3,0.146,20,0.31,24,0.31,19,0.276,0.207,"1,2",37,0.276
93,https://www.playerprofiler.com/wp-content/uploads/2023/01/tyler-scott-advanced-stats.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cincinnati_Bearcats_logo.svg/1200px-Cincinnati_Bearcats_logo.svg.png,Cincinnati,21.2,2023,133,,0.066,6.8,0.719,12.7,0.578,4.58,0.738,55,0.672,52.8,0,73.1,0.188,0.275,2.12,,0.127,0.2,0.113,60,0.106,Tyler Scott,47,84,0.411,0.818,0.172,5097,0.104,177,0.531,4.44,0.8,39.5,0.903,133,0.534,6.99,0.533,4.25,0.621,8.61,0.29,20.9,1.71,3,0.5,0.246,1,0.254,0,0,11.7,0.331,15.4,0.394,15.6,0.43,25.7,0.709,33.8,0.801,48.1,0.901,,0,,0,,0,,,,,,,0.198,1,46,0.043
95,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/D'Wayne-Eskridge-WR-WesternMichigan.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Western_Michigan_Broncos_%282021%29_logo.svg/1200px-Western_Michigan_Broncos_%282021%29_logo.svg.png,Western Michigan,24,2021,56,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.81,2.91,,0.62,0.26,0.553,90,0.078,D'Wayne Eskridge,43,91,0.624,0.015,0.069,5086,0.365,190,0.708,4.4,0.295,35,0.398,124,0.63,6.95,0.44,4.27,0.243,6.71,0.449,20.5,1.65,5,9,0.606,4.8,0.458,4.2,0.493,17.4,0.556,25.6,0.69,15.8,0.444,18.6,0.433,29.6,0.695,18.2,0.298,4,0.034,7.6,0.067,0,0,41.2,0.966,55.3,1,53.3,1,0.19,"1,2",29,0.362
96,https://www.si.com/.image/t_share/MTkzODEwNTMzOTg2NjA4NjI0/tcu-wr-derius-davis.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/1280px-TCU_Horned_Frogs_logo.svg.png,TCU,22.3,2023,125,,0.443,9.5,1,7,0.031,4.2,0.803,25,0.094,62.1,0.125,66.4,0.031,0.176,2,,0.31,0.23,0.092,59,0.057,Derius Davis,40,92,0.645,0.372,0.034,5083,0.009,165,0.813,4.36,0,30.5,0,105,0.178,7.23,0.187,4.38,0.039,4.29,0.181,21.6,1.61,5,5.5,0.472,6.2,0.479,17.9,0.789,10.7,0.282,8.2,0.232,0,0,10.2,0.121,11.8,0.128,10.1,0.156,18,0.225,18,0.169,5.3,0.079,15.4,0.103,14.5,0.069,16.2,0.172,0.181,1,50,0
100,https://www.si.com/.image/t_share/MTkzNjgwOTU2OTcwNzcxOTA3/purdue-wr-charlie-jones.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/1200px-Purdue_Boilermakers_logo.svg.png,Purdue,24.2,2023,131,,0.885,3.9,0.125,11.1,0.359,18.3,0.082,52.4,0.594,77.6,0.625,83.8,0.656,0.352,2.22,,0.401,0.24,0.589,91,0.887,Charlie Jones,98,53,0.142,0.015,0.336,5113,0.078,175,0.615,4.43,0.516,36.5,0.398,124,0.781,6.84,0.733,4.15,0.592,8.54,0.007,23.9,1.54,6,9.1,0.613,14.6,0.761,12.5,0.683,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0.09,12.8,0.079,25,0.337,32.1,0.897,37.6,0.862,48.6,0.931,0.172,1,50,0
94,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/John-Metchie-WR-Alabama.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,Alabama,21.5,2022,44,,0.295,6.7,0.672,8.8,0.094,4.8,0.689,61.1,0.859,81.1,0.719,79.5,0.516,0.352,2.22,,0.31,0.23,0.241,78,0.262,John Metchie III,69,90,0.589,0.62,0.31,5112,0.287,187,,-,,-,,-,,-,,-,,-,0.254,21.1,1.5,3,0.7,0.275,1.2,0.268,0,0,17,0.535,19.7,0.5,14.3,0.38,25.4,0.688,22.6,0.397,16.7,0.248,,0,,0,,0,,,,,,,0.164,1,20,0.56
98,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/201914.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/1200px-Georgia_Athletics_logo.svg.png,Georgia,22.7,2019,126,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.035,1.68,,0.014,0.18,0.39,85,0.511,Riley Ridley,86,83,0.39,0.19,0.647,6012,0.47,199,0.083,4.58,0,30.5,0.398,124,0.192,7.22,0.413,4.28,0.078,4.54,0.072,22.1,1.2,4,0,0,0,0,0,0,12.3,0.352,20.6,0.521,27.8,0.697,14.1,0.206,10.6,0.106,15.6,0.234,17.8,0.202,17.7,0.157,26.5,0.393,,,,,,,0.155,"1,2",38,0.233
99,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Amari-Rodgers-WR-Clemson.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/1200px-Clemson_Tigers_logo.svg.png,Clemson,21.5,2021,85,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.176,2,,0.239,0.22,0.021,50,0.121,Amari Rodgers,52,98,0.858,0.657,0.129,5094,0.765,212,0.229,4.52,0.074,33,0.172,121,0.342,7.07,0.373,4.31,0.117,5.35,0.254,21,1.15,4,7.2,0.542,4.4,0.437,0,0,16.8,0.514,13.7,0.338,10.8,0.261,9.9,0.113,10.6,0.106,10.6,0.17,23.8,0.517,24.4,0.36,22.6,0.236,,,,,,,0.147,"1,2",20,0.552
